year,country_gaining,iso3c_gaining,country_losing,iso3c_losing,type,pop,area
1825,Tunisia,TUN,Turkey,TUR,"Secession
(establish new indep. entities)",875000,116348.00
1826,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",.,200000.00
1826,United Kingdom,GBR,Myanmar (Burma),MMR,"Conquest
(armed force)",1222998,169098.00
1826,United Kingdom,GBR,NA,NA,"Cession
(part yielded to other entity)",.,1.00
1828,Uruguay,URY,Brazil,BRA,"Secession
(establish new indep. entities)",70000,269810.00
1828,Netherlands,NLD,NA,NA,"Conquest
(armed force)",200000,412781.00
1828,Greece,GRC,Turkey,TUR,"Secession
(establish new indep. entities)",637700,39510.00
1828,Russia,RUS,Iran,IRN,"Cession
(part yielded to other entity)",.,29800.00
1829,United Kingdom,GBR,Spain,ESP,"Cession
(part yielded to other entity)",2300,2034.00
1829,Russia,RUS,Turkey,TUR,"Cession
(part yielded to other entity)",.,8580.00
1829,Russia,RUS,NA,NA,"Conquest
(armed force)",.,4680.00
1830,Belgium,BEL,Netherlands,NLD,"Secession
(establish new indep. entities)",3533538,27407.00
1830,France,FRA,Turkey,TUR,"Conquest
(armed force)",73200,275317.00
1830,Russia,RUS,NA,NA,"Conquest
(armed force)",.,9360.00
1832,Colombia,COL,Ecuador,ECU,"Cession
(part yielded to other entity)",276249,140976.00
1833,United Kingdom,GBR,Argentina,ARG,"Annexation
(unilateral)",20,11961.00
1835,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",.,1.00
1836,NA,NA,Mexico,MEX,"Secession
(establish new indep. entities)",38000,1010472.00
1839,Peru,PER,Bolivia,BOL,"Secession
(establish new indep. entities)",1929300,1559891.00
1839,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",29730,207.00
1839,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",.,3016.00
1839,Netherlands,NLD,NA,NA,"Cession
(part yielded to other entity)",20978000,5560.00
1839,Belgium,BEL,Netherlands,NLD,"Cession
(part yielded to other entity)",171572,2416.00
1839,Belgium,BEL,Netherlands,NLD,"Cession
(part yielded to other entity)",176493,4408.00
1840,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",31907,268676.00
1840,Portugal,PRT,NA,NA,"Annexation
(unilateral)",.,140000.00
1841,France,FRA,NA,NA,"Annexation
(unilateral)",6888,373.00
1842,United States,USA,United Kingdom,GBR,"Cession
(part yielded to other entity)",.,18130.00
1842,United Kingdom,GBR,United States,USA,"Cession
(part yielded to other entity)",.,12950.00
1842,United Kingdom,GBR,China,CHN,"Cession
(part yielded to other entity)",33143,75.00
1842,France,FRA,NA,NA,"Annexation
(unilateral)",20200,1321.00
1843,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",1730323,126340.00
1843,United Kingdom,GBR,NA,NA,"Conquest
(armed force)",121068,46620.00
1843,Netherlands,NLD,NA,NA,"Cession
(part yielded to other entity)",.,4748.00
1843,France,FRA,NA,NA,"Cession
(part yielded to other entity)",.,6370.00
1843,Spain,ESP,United Kingdom,GBR,"Cession
(part yielded to other entity)",18000,2034.00
1844,France,FRA,NA,NA,"Conquest
(armed force)",9000,1595.00
1845,United States,USA,NA,NA,"Annexation
(unilateral)",35162,1010472.00
1845,France,FRA,NA,NA,"Cession
(part yielded to other entity)",.,66914.00
1846,United States,USA,United Kingdom,GBR,"Cession
(part yielded to other entity)",13323,739652.00
1846,United Kingdom,GBR,United States,USA,"Cession
(part yielded to other entity)",89000,429536.00
1846,Austria-Hungary,NA,NA,NA,"Annexation
(unilateral)",141202,1158.00
1847,United Kingdom,GBR,Brunei,BRN,"Cession
(part yielded to other entity)",1385,91.00
1847,United Kingdom,GBR,NA,NA,"Conquest
(armed force)",.,1.00
1847,France,FRA,NA,NA,"Conquest
(armed force)",.,200000.00
1847,Tuscany,NA,NA,NA,"Annexation
(unilateral)",168198,1127.00
1848,United States,USA,Mexico,MEX,"Cession
(part yielded to other entity)",295574,1370153.00
1849,United Kingdom,GBR,NA,NA,"Conquest
(armed force)",9153209,151536.00
1849,United Kingdom,GBR,NA,NA,"Cession
(part yielded to other entity)",3000000,259000.00
1849,France,FRA,NA,NA,"Annexation
(unilateral)",.,19500.00
1849,Germany,DEU,NA,NA,"Unification
(new entity from 2+ pre-existing)",65574,1173.00
1850,United Kingdom,GBR,Denmark,DNK,"Cession
(part yielded to other entity)",40000,40.00
1851,Brazil,BRA,Uruguay,URY,"Cession
(part yielded to other entity)",.,104000.00
1851,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",.,8.00
1851,Netherlands,NLD,Portugal,PRT,"Cession
(part yielded to other entity)",.,1.00
1852,United Kingdom,GBR,Myanmar (Burma),MMR,"Conquest
(armed force)",870180,83657.00
1852,NA,NA,United Kingdom,GBR,"Unknown process
(often independences)",300000,286065.00
1853,United States,USA,Mexico,MEX,"Cession
(part yielded to other entity)",96000,76768.00
1853,France,FRA,NA,NA,"Conquest
(armed force)",60000,16112.00
1853,Russia,RUS,NA,NA,"Annexation
(unilateral)",.,66120.00
1854,United Kingdom,GBR,Oman,OMN,"Cession
(part yielded to other entity)",350000,73.00
1854,Russia,RUS,NA,NA,"Conquest
(armed force)",.,1820000.00
1854,NA,NA,United Kingdom,GBR,"Unknown process
(often independences)",245000,129153.00
1855,Egypt,EGY,Turkey,TUR,"Secession
(establish new indep. entities)",600000,1021081.00
1856,Turkey,TUR,Russia,RUS,"Cession
(part yielded to other entity)",.,12264.00
1856,Turkey,TUR,Russia,RUS,"Cession
(part yielded to other entity)",.,18557.00
1857,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",400,13.00
1858,United States,USA,NA,NA,"Annexation
(unilateral)",0,1.00
1858,France,FRA,NA,NA,"Annexation
(unilateral)",0,5.00
1858,Russia,RUS,NA,NA,"Conquest
(armed force)",.,520.00
1858,Russia,RUS,China,CHN,"Cession
(part yielded to other entity)",40000,282473.00
1859,Honduras,HND,United Kingdom,GBR,"Cession
(part yielded to other entity)",.,33701.00
1859,Brazil,BRA,Venezuela,VEN,"Cession
(part yielded to other entity)",.,156000.00
1859,Netherlands,NLD,Portugal,PRT,"Cession
(part yielded to other entity)",1057800,15850.00
1859,Portugal,PRT,Netherlands,NLD,"Cession
(part yielded to other entity)",850300,18989.00
1859,Italy,ITA,Austria-Hungary,NA,"Cession
(part yielded to other entity)",3009505,21595.00
1859,Russia,RUS,NA,NA,"Conquest
(armed force)",.,12480.00
1860,Nicaragua,NIC,United Kingdom,GBR,"Cession
(part yielded to other entity)",.,21367.00
1860,United Kingdom,GBR,China,CHN,"Cession
(part yielded to other entity)",.,6.00
1860,France,FRA,NA,NA,"Conquest
(armed force)",.,39000.00
1860,France,FRA,Italy,ITA,"Cession
(part yielded to other entity)",.,14778.00
1860,Spain,ESP,Morocco,MAR,"Annexation
(unilateral)",.,1505.00
1860,Italy,ITA,Modena,NA,"Unification
(new entity from 2+ pre-existing)",598996,6031.00
1860,Italy,ITA,Parma,NA,"Unification
(new entity from 2+ pre-existing)",495840,6221.00
1860,Italy,ITA,Tuscany,NA,"Unification
(new entity from 2+ pre-existing)",1783279,22163.00
1860,Italy,ITA,Two Sicilies,NA,"Unification
(new entity from 2+ pre-existing)",8703130,11950.00
1860,Italy,ITA,Vatican City,VAT,"Unification
(new entity from 2+ pre-existing)",3124668,41445.00
1860,Russia,RUS,China,CHN,"Cession
(part yielded to other entity)",.,234000.00
1861,United Kingdom,GBR,NA,NA,"Cession
(part yielded to other entity)",115000,12950.00
1861,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",.,1.00
1861,France,FRA,Monaco,MCO,"Annexation
(unilateral)",.,2.00
1861,Spain,ESP,Dominican Republic,DOM,"Annexation
(unilateral)",200000,48734.00
1862,United Kingdom,GBR,Bahrain,BHR,"Annexation
(unilateral)",.,598.00
1862,France,FRA,NA,NA,"Cession
(part yielded to other entity)",22730,6000.00
1862,France,FRA,NA,NA,"Cession
(part yielded to other entity)",502116,22380.00
1863,United States,USA,Honduras,HND,"Annexation
(unilateral)",.,5.00
1863,France,FRA,NA,NA,"Cession
(part yielded to other entity)",20000,520.00
1863,France,FRA,Cambodia,KHM,"Annexation
(unilateral)",1000000,83861.00
1864,France,FRA,NA,NA,"Annexation
(unilateral)",15000,1958.00
1864,Germany,DEU,Denmark,DNK,"Cession
(part yielded to other entity)",50147,1046.00
1864,Germany,DEU,Denmark,DNK,"Cession
(part yielded to other entity)",409907,9194.00
1864,Austria-Hungary,NA,Denmark,DNK,"Cession
(part yielded to other entity)",544419,8534.00
1864,Greece,GRC,United Kingdom,GBR,"Cession
(part yielded to other entity)",234123,2608.00
1864,Russia,RUS,NA,NA,"Conquest
(armed force)",.,36400.00
1865,Dominican Republic,DOM,Spain,ESP,"Unknown process
(often independences)",200000,48734.00
1865,United Kingdom,GBR,Bhutan,BTN,"Annexation
(unilateral)",.,8889.00
1866,Chile,CHL,Bolivia,BOL,"Cession
(part yielded to other entity)",.,42896.00
1866,Germany,DEU,Austria-Hungary,NA,"Conquest
(armed force)",544419,8537.00
1866,Germany,DEU,NA,NA,"Annexation
(unilateral)",457571,4709.00
1866,Germany,DEU,NA,NA,"Annexation
(unilateral)",87518,101.00
1866,Germany,DEU,Hanover,NA,"Conquest
(armed force)",1923492,38474.00
1866,Germany,DEU,Hesse Electoral,NA,"Annexation
(unilateral)",745063,9586.00
1866,Italy,ITA,Austria-Hungary,NA,"Cession
(part yielded to other entity)",2458989,25145.00
1867,United States,USA,NA,NA,"Annexation
(unilateral)",0,5.00
1867,United States,USA,Russia,RUS,"Cession
(part yielded to other entity)",54000,1518775.00
1867,Brazil,BRA,Bolivia,BOL,"Cession
(part yielded to other entity)",.,162500.00
1867,Luxembourg,LUX,Netherlands,NLD,"Secession
(establish new indep. entities)",203851,2567.00
1867,France,FRA,NA,NA,"Conquest
(armed force)",477000,33864.00
1867,Germany,DEU,NA,NA,"Unification
(new entity from 2+ pre-existing)",295242,6291.00
1867,Germany,DEU,NA,NA,"Unification
(new entity from 2+ pre-existing)",98575,192.00
1867,Germany,DEU,NA,NA,"Unification
(new entity from 2+ pre-existing)",49482,329.00
1867,Germany,DEU,NA,NA,"Unification
(new entity from 2+ pre-existing)",99060,2725.00
1867,Germany,DEU,NA,NA,"Unification
(new entity from 2+ pre-existing)",229941,352.00
1867,Germany,DEU,NA,NA,"Unification
(new entity from 2+ pre-existing)",139287,1577.00
1867,Germany,DEU,NA,NA,"Unification
(new entity from 2+ pre-existing)",58604,1121.00
1867,Germany,DEU,NA,NA,"Unification
(new entity from 2+ pre-existing)",181824,2383.00
1867,Germany,DEU,NA,NA,"Unification
(new entity from 2+ pre-existing)",742907,9407.00
1867,Germany,DEU,NA,NA,"Unification
(new entity from 2+ pre-existing)",282400,3691.00
1867,Germany,DEU,Saxony,NA,"Unification
(new entity from 2+ pre-existing)",2337192,14939.00
1867,Germany,DEU,Hesse Grand Ducal,NA,"Unification
(new entity from 2+ pre-existing)",853315,8386.00
1867,Germany,DEU,Mecklenburg Schwerin,NA,"Unification
(new entity from 2+ pre-existing)",552612,13442.00
1867,Thailand,THA,France,FRA,"Cession
(part yielded to other entity)",.,35641.00
1868,United Kingdom,GBR,Lesotho,LSO,"Annexation
(unilateral)",127700,21885.00
1868,Russia,RUS,Tajikistan,TJK,"Conquest
(armed force)",2000000,156000.00
1869,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",.,1645.00
1869,Italy,ITA,NA,NA,"Cession
(part yielded to other entity)",1193,629.00
1870,Brazil,BRA,Paraguay,PRY,"Cession
(part yielded to other entity)",.,65000.00
1874,Argentina,ARG,Paraguay,PRY,"Cession
(part yielded to other entity)",.,117000.00
1870,France,FRA,NA,NA,"Conquest
(armed force)",.,400000.00
1870,Italy,ITA,Vatican City,VAT,"Unification
(new entity from 2+ pre-existing)",723161,11790.00
1871,United Kingdom,GBR,Netherlands,NLD,"Cession
(part yielded to other entity)",120000,27534.00
1871,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",25477,46102.00
1871,Germany,DEU,France,FRA,"Cession
(part yielded to other entity)",1549459,14452.00
1871,Germany,DEU,Baden,NA,"Unification
(new entity from 2+ pre-existing)",1434970,15311.00
1871,Germany,DEU,Wuerttemburg,NA,"Unification
(new entity from 2+ pre-existing)",1778479,50526.00
1871,Germany,DEU,Bavaria,NA,"Unification
(new entity from 2+ pre-existing)",4824421,76073.00
1871,Russia,RUS,China,CHN,"Annexation
(unilateral)",.,42900.00
1871,Turkey,TUR,NA,NA,"Conquest
(armed force)",.,104338.00
1872,United States,USA,United Kingdom,GBR,"Cession
(part yielded to other entity)",.,.
1872,Turkey,TUR,Qatar,QAT,"Annexation
(unilateral)",22500,11000.00
1872,Turkey,TUR,Yemen Arab Republic,NA,"Conquest
(armed force)",2000000,195000.00
1873,Russia,RUS,NA,NA,"Conquest
(armed force)",.,228800.00
1873,Russia,RUS,Kyrgyzstan,KGZ,"Conquest
(armed force)",110000,92463.00
1873,Japan,JPN,NA,NA,"Annexation
(unilateral)",.,104.00
1874,United Kingdom,GBR,Fiji,FJI,"Annexation
(unilateral)",148040,18272.00
1874,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",.,29068.00
1874,France,FRA,NA,NA,"Conquest
(armed force)",477000,33864.00
1874,Egypt,EGY,NA,NA,"Conquest
(armed force)",11000000,2658063.00
1875,Portugal,PRT,United Kingdom,GBR,"Cession
(part yielded to other entity)",.,650.00
1875,Russia,RUS,Japan,JPN,"Cession
(part yielded to other entity)",2358,32348.00
1875,Turkey,TUR,NA,NA,"Conquest
(armed force)",.,107120.00
1875,Japan,JPN,Russia,RUS,"Cession
(part yielded to other entity)",72,4973.00
1876,United Kingdom,GBR,Afghanistan,AFG,"Annexation
(unilateral)",27270,.
1876,Russia,RUS,Turkmenistan,TKM,"Conquest
(armed force)",.,728000.00
1877,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",800,969.00
1877,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",815000,285363.00
1877,United Kingdom,GBR,NA,NA,"Cession
(part yielded to other entity)",.,6.00
1878,Paraguay,PRY,Argentina,ARG,"Cession
(part yielded to other entity)",10,1.00
1878,United Kingdom,GBR,Turkey,TUR,"Cession
(part yielded to other entity)",186084,9251.00
1878,United Kingdom,GBR,NA,NA,"Conquest
(armed force)",.,1.00
1878,Austria-Hungary,NA,Turkey,TUR,"Mandated territory
(by League of Nations or UN)",862202,42520.00
1878,Austria-Hungary,NA,Turkey,TUR,"Mandated territory
(by League of Nations or UN)",349970,20280.00
1878,Austria-Hungary,NA,Turkey,TUR,"Cession
(part yielded to other entity)",2000,35.00
1878,Yugoslavia,NA,Turkey,TUR,"Secession
(establish new indep. entities)",1352522,42994.00
1878,Yugoslavia,NA,Turkey,TUR,"Cession
(part yielded to other entity)",222732,11097.00
1878,Montenegro,MNE,Turkey,TUR,"Secession
(establish new indep. entities)",195585,4584.00
1878,Montenegro,MNE,Turkey,TUR,"Cession
(part yielded to other entity)",100000,4610.00
1878,Romania,ROU,Turkey,TUR,"Secession
(establish new indep. entities)",5073000,118213.00
1878,Romania,ROU,Turkey,TUR,"Cession
(part yielded to other entity)",357000,15372.00
1878,Russia,RUS,Romania,ROU,"Cession
(part yielded to other entity)",127000,9274.00
1878,Russia,RUS,Turkey,TUR,"Cession
(part yielded to other entity)",236600,25769.00
1879,Argentina,ARG,NA,NA,"Conquest
(armed force)",24000,669972.00
1879,Egypt,EGY,Ethiopia,ETH,"Conquest
(armed force)",325000,468000.00
1880,France,FRA,NA,NA,"Annexation
(unilateral)",793,209.00
1880,France,FRA,NA,NA,"Cession
(part yielded to other entity)",5000000,540000.00
1880,Montenegro,MNE,Turkey,TUR,"Cession
(part yielded to other entity)",.,520.00
1880,NA,NA,United Kingdom,GBR,"Unknown process
(often independences)",815000,285363.00
1880,Turkey,TUR,Montenegro,MNE,"Cession
(part yielded to other entity)",200,1.00
1881,Chile,CHL,Argentina,ARG,"Cession
(part yielded to other entity)",.,1.00
1881,Argentina,ARG,Chile,CHL,"Cession
(part yielded to other entity)",10,1.00
1881,France,FRA,NA,NA,"Annexation
(unilateral)",5469,1000.00
1881,France,FRA,Tunisia,TUN,"Conquest
(armed force)",2100000,116348.00
1881,Greece,GRC,Turkey,TUR,"Cession
(part yielded to other entity)",293000,13364.00
1881,Russia,RUS,NA,NA,"Annexation
(unilateral)",.,4680.00
1881,China,CHN,Russia,RUS,"Cession
(part yielded to other entity)",.,42900.00
1882,United Kingdom,GBR,Egypt,EGY,"Conquest
(armed force)",6806381,1021081.00
1883,Chile,CHL,Peru,PER,"Conquest
(armed force)",20000,51480.00
1883,France,FRA,NA,NA,"Annexation
(unilateral)",.,500.00
1883,France,FRA,NA,NA,"Annexation
(unilateral)",9000000,90000.00
1884,Chile,CHL,Bolivia,BOL,"Conquest
(armed force)",14000,50215.00
1884,United Kingdom,GBR,NA,NA,"Cession
(part yielded to other entity)",.,19500.00
1884,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",.,3250.00
1884,United Kingdom,GBR,NA,NA,"Conquest
(armed force)",137500,234654.00
1884,United Kingdom,GBR,NA,NA,"Conquest
(armed force)",153800,192000.00
1884,France,FRA,NA,NA,"Conquest
(armed force)",180000,16000.00
1884,Germany,DEU,NA,NA,"Conquest
(armed force)",250000,822907.00
1884,Germany,DEU,NA,NA,"Conquest
(armed force)",500000,41440.00
1884,Germany,DEU,NA,NA,"Conquest
(armed force)",297000,240870.00
1884,Germany,DEU,NA,NA,"Conquest
(armed force)",2600000,336700.00
1884,Ethiopia,ETH,Egypt,EGY,"Cession
(part yielded to other entity)",.,468000.00
1884,Sudan,SDN,United Kingdom,GBR,"Unknown process
(often independences)",11000000,2658063.00
1885,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",44135,440300.00
1885,United Kingdom,GBR,NA,NA,"Conquest
(armed force)",24000000,898000.00
1885,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",44135,133722.00
1885,France,FRA,Madagascar,MDG,"Cession
(part yielded to other entity)",12237,250.00
1885,France,FRA,NA,NA,"Cession
(part yielded to other entity)",.,200742.00
1885,Spain,ESP,NA,NA,"Conquest
(armed force)",139000,26017.00
1885,Spain,ESP,NA,NA,"Conquest
(armed force)",100000,266000.00
1885,Portugal,PRT,Belgium,BEL,"Cession
(part yielded to other entity)",.,7298.00
1885,Germany,DEU,NA,NA,"Annexation
(unilateral)",.,54222.00
1885,Germany,DEU,NA,NA,"Annexation
(unilateral)",10000,388.00
1885,Germany,DEU,NA,NA,"Annexation
(unilateral)",80000,22000.00
1885,Germany,DEU,NA,NA,"Annexation
(unilateral)",.,3120.00
1885,Italy,ITA,NA,NA,"Conquest
(armed force)",16000,100.00
1885,Russia,RUS,NA,NA,"Annexation
(unilateral)",.,175000.00
1886,United Kingdom,GBR,Myanmar (Burma),MMR,"Conquest
(armed force)",4000000,492000.00
1886,United Kingdom,GBR,NA,NA,"Cession
(part yielded to other entity)",.,160000.00
1886,France,FRA,NA,NA,"Annexation
(unilateral)",47000,1782.00
1886,Portugal,PRT,Zanzibar,NA,"Cession
(part yielded to other entity)",.,6000.00
1887,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",160000,23051.00
1887,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",.,14763.00
1887,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",.,52.00
1887,United Kingdom,GBR,Maldives,MDV,"Annexation
(unilateral)",30000,298.00
1887,United Kingdom,GBR,Zanzibar,NA,"Cession
(part yielded to other entity)",.,7020.00
1887,France,FRA,NA,NA,"Annexation
(unilateral)",.,14763.00
1887,France,FRA,NA,NA,"Cession
(part yielded to other entity)",.,161.00
1888,Chile,CHL,NA,NA,"Annexation
(unilateral)",175,119.00
1888,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",175000,76024.00
1888,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",.,155.00
1888,United Kingdom,GBR,Brunei,BRN,"Annexation
(unilateral)",45000,5765.00
1888,United Kingdom,GBR,NA,NA,"Conquest
(armed force)",8400,241.00
1888,United Kingdom,GBR,NA,NA,"Conquest
(armed force)",320000,48250.00
1888,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",.,36192.00
1888,France,FRA,NA,NA,"Conquest
(armed force)",.,635821.00
1888,France,FRA,NA,NA,"Cession
(part yielded to other entity)",.,114.00
1888,Germany,DEU,Zanzibar,NA,"Cession
(part yielded to other entity)",.,52000.00
1888,Germany,DEU,NA,NA,"Annexation
(unilateral)",.,21.00
1889,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",845547,119311.00
1889,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",.,7334.00
1889,United Kingdom,GBR,Zanzibar,NA,"Cession
(part yielded to other entity)",.,10000.00
1889,United Kingdom,GBR,NA,NA,"Cession
(part yielded to other entity)",.,11000.00
1889,France,FRA,NA,NA,"Annexation
(unilateral)",2250000,322463.00
1889,Italy,ITA,NA,NA,"Conquest
(armed force)",194579,247300.00
1889,Italy,ITA,Zanzibar,NA,"Conquest
(armed force)",400000,259000.00
1890,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",.,48000.00
1890,United Kingdom,GBR,Zanzibar,NA,"Annexation
(unilateral)",150000,2642.00
1890,United Kingdom,GBR,Germany,DEU,"Cession
(part yielded to other entity)",.,3120.00
1890,United Kingdom,GBR,Eswatini,SWZ,"Annexation
(unilateral)",55000,17363.00
1890,United Kingdom,GBR,NA,NA,"Cession
(part yielded to other entity)",30458,7298.00
1890,Portugal,PRT,NA,NA,"Annexation
(unilateral)",.,468000.00
1890,Germany,DEU,United Kingdom,GBR,"Cession
(part yielded to other entity)",2001,2.00
1890,Germany,DEU,United Kingdom,GBR,"Cession
(part yielded to other entity)",.,18200.00
1890,Germany,DEU,NA,NA,"Annexation
(unilateral)",.,130000.00
1891,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",650000,624107.00
1891,Belgium,BEL,Portugal,PRT,"Cession
(part yielded to other entity)",.,1.00
1891,Portugal,PRT,Belgium,BEL,"Cession
(part yielded to other entity)",.,1.00
1892,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",37400,956.00
1892,United Kingdom,GBR,United Arab Emirates,ARE,"Cession
(part yielded to other entity)",.,92100.00
1892,Italy,ITA,United Kingdom,GBR,"Cession
(part yielded to other entity)",.,10000.00
1893,United Kingdom,GBR,Afghanistan,AFG,"Cession
(part yielded to other entity)",.,104980.00
1893,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",.,21645.00
1893,United Kingdom,GBR,NA,NA,"Conquest
(armed force)",609157,389362.00
1893,France,FRA,NA,NA,"Conquest
(armed force)",.,842400.00
1893,France,FRA,Laos,LAO,"Conquest
(armed force)",600000,255000.00
1893,France,FRA,NA,NA,"Annexation
(unilateral)",0,6931.00
1893,NA,NA,United Kingdom,GBR,"Cession
(part yielded to other entity)",55000,17363.00
1894,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",.,64999.00
1894,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",166080,10464.00
1894,France,FRA,Belgium,BEL,"Cession
(part yielded to other entity)",.,1.00
1894,France,FRA,NA,NA,"Conquest
(armed force)",600000,115760.00
1894,France,FRA,NA,NA,"Cession
(part yielded to other entity)",.,622984.00
1894,Italy,ITA,NA,NA,"Conquest
(armed force)",.,1.00
1895,Brazil,BRA,Paraguay,PRY,"Cession
(part yielded to other entity)",.,13000.00
1895,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",.,1560.00
1895,Russia,RUS,Afghanistan,AFG,"Cession
(part yielded to other entity)",.,26000.00
1895,Japan,JPN,China,CHN,"Conquest
(armed force)",2781272,35763.00
1896,United Kingdom,GBR,NA,NA,"Conquest
(armed force)",317964,100000.00
1896,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",.,19685.00
1896,United Kingdom,GBR,NA,NA,"Conquest
(armed force)",.,24484.00
1896,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",1000000,71939.00
1896,France,FRA,Madagascar,MDG,"Conquest
(armed force)",3500000,590000.00
1897,Mexico,MEX,France,FRA,"Conquest
(armed force)",0,5.00
1897,United Kingdom,GBR,Italy,ITA,"Cession
(part yielded to other entity)",.,1.00
1897,United Kingdom,GBR,Ethiopia,ETH,"Cession
(part yielded to other entity)",.,20720.00
1897,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",.,98080.00
1897,Turkey,TUR,Greece,GRC,"Cession
(part yielded to other entity)",200,1.00
1898,United States,USA,NA,NA,"Annexation
(unilateral)",.,8.00
1898,United States,USA,NA,NA,"Annexation
(unilateral)",109020,16638.00
1898,United States,USA,Spain,ESP,"Cession
(part yielded to other entity)",9000,541.00
1898,United States,USA,Spain,ESP,"Cession
(part yielded to other entity)",7000000,299404.00
1898,United States,USA,Spain,ESP,"Cession
(part yielded to other entity)",953243,8860.00
1898,United States,USA,Spain,ESP,"Cession
(part yielded to other entity)",1572797,114525.00
1898,United Kingdom,GBR,China,CHN,"Cession
(part yielded to other entity)",150000,738.00
1898,United Kingdom,GBR,France,FRA,"Cession
(part yielded to other entity)",.,71500.00
1898,United Kingdom,GBR,China,CHN,"Cession
(part yielded to other entity)",100000,953.00
1898,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",.,71728.00
