year,dispnum,midloc2_location,midloc2_measuringpoint,midloc2_xlongitude,midloc2_ylatitude,midloc2_precision,midloc2_howobtained,midloc2_precision_comment,midloc2_general_comment,priogrid_cell,midloc11_location,midloc11_midlocmeasuringpoint,midloc11_latitude,midloc11_longitude,midloc11_precision
1950,51,"Kaesong, South Korea","Kaesong, South Korea",126.677,37.9558,1,latlong.net,Precise location text,,184214,.,"kaesong, s korea",37.96,126.57,1
1956,53,Taiwan Strait,Taiwan Strait,119.698,24.6581,3,latlong.net,Strait,,165480,Taiwan Straits,Taiwan Straits,24,119,5
1923,55,"Corfu, Greece","Corfu, Greece",19.9217,39.6243,3,latlong.net,ADM2 like,,186880,Corfu,"Corfu, Greece",39.4533,19.9197,5
1897,56,Aegean Sea,Aegean Sea,25.2686,39.0192,5,latlong.net,Sea,,186171,,md point of aegean sea,38.96,25.11,5
1853,57,Ottoman-Russia Border,Midpoint of shared (national) border,28.93,47.88,5,MIDLOC1.1,Point along a line,,198418,,md point of ottoman-russian border,47.88,28.93,4
1962,61,Cuba-United States Border (Territorial Waters),Midpoint along shortest line between territorial waters,-81.9004,23.8593,5,ArcGIS and Marine Regions,Point along a line,,163637,,waters off of cuba,22.74,-75.58,4
1826,64,"Galati, Romania","Galati, Romania",28.008,45.4353,5,latlong.net,> ADM1,,194817,Danubian Principalities,"Galati, Romania",45.45,28.05,3
1883,65,Danube River,Midpoint of river,22.3676,44.6953,5,ArcGIS and Natural Earth Data,Point along a line,,194085,Danube region,"Belgrade, Yug",44.8119,20.4656,3
1934,67,Czechoslovakia-Germany Border,Midpoint of shared (national) border,12.6784,50.4139,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,201986,,md point of cze-ger border,50.81,14.1,4
1900,68,Dominican Republic,Midpoint of coastline,-68.5066,18.7553,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,156463,,md point of dom coast,18.67,-68.26,4
1914,69,"Puerto Plata, Dominican Republic","Puerto Plata, Dominican Republic",-70.6871,19.7808,1,latlong.net,Precise location text,,157899,"Dominican Republic, Puerto Plata",Puerto Plata,19.8,-70.6833,1
1850,71,"Piraeus, Greece","Piraeus, Greece",23.647,37.943,1,latlong.net,Precise location text,,184008,"Piraeus, Greece","Piraeus, GRC",37.95,23.6333,1
1898,77,"Kodok, Sudan","Kodok, Sudan",32.1093,9.89407,1,latlong.net,Precise location text,,143705,"Fashoda, Sudan",Fashoda,9.88333,32.1167,1
1847,78,"Ferrara, Italy","Ferrara, Italy",11.6198,44.8381,1,latlong.net,Precise location text,,194064,"Ferrara, Papal States",Ferrara,46.7228,12.1342,1
1907,86,Morocco,Midpoint of coastline,-8.34876,33.3276,5,ArcGIS and cShapes,Point along a line,Uses 1958 data,177464,,md point MOR coast,33.72,-7.27,4
1870,88,France-Germany Border,Midpoint of shared (national) border,7.81941,49.0463,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,200536,,md point FRA border with GER states,49,8.31,4
1822,89,France-Spain Border,Midpoint of shared (national) border,0.514845,42.6924,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,191162,,md point FRA-SPN border,42.67,0.61,4
1887,91,"Ankara, Turkey","Ankara, Turkey",32.8597,39.9334,8,latlong.net,Capital,,186906,Turkey,Ankara,39.935,32.8642,5
1964,92,Libreville,"Libreville, Gabon",9.46727,0.416198,1,latlong.net,Precise location text,,129979,Libreville,"Libreville, Gabon",0.383333,9.45,1
1909,95,"Port-au-Prince, Haiti","Port-au-Prince, Haiti",-72.3074,18.5944,5,latlong.net,Point along a line,,156456,Haitian Ports (Port-au-Prince),Port au Prince,18.5392,-72.335,4
1886,96,Rio-Antirio Bridge,Rio-Antirio Bridge,21.7737,38.3206,2,latlong.net,Near,,184724,,entry to corinthian straits,38.24,21.47,4
1914,100,"Port-au-Prince, Haiti","Port-au-Prince, Haiti",-72.3074,18.5944,8,latlong.net,Capital,,156456,Haiti,Port au Prince,18.5392,-72.335,5
1880,104,China (Illi Kazakh Autonomous Prefecture [ADM2]),Centroid of ADM2,82.0989,43.4509,3,ArcGIS and GADM,ADM2,,192045,"Ili region, Xinjiang","Ili, Kazakhstan",43.8733,77.1844,3
1895,106,Japan (Hokkaido)-Russia (Sakhalin) Border (Territorial Waters),Midpoint of shared (territorial water) border,142.007,45.7095,5,ArcGIS and Marine Regions,Point along a line,,195765,,between sakhalin and hokkaido,45.71,142.11,5
1939,108,"Tirana, Albania","Tirana, Albania",19.8187,41.3275,8,latlong.net,Capital,,189040,Albania,"Tirana, Albania",41.3275,19.8189,5
1904,109,Austria-Italy Border,Midpoint of shared (national) border,12.215,47.0873,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,197665,Italian-Austrian Border,"Brennner Pass, Italy",47,11.5,4
1934,111,"Walwal, Abys","Walwal, Abys",45.4,7.05,1,MIDLOC1.1,Precise location text,,140131,.,"walwal, abys",7.05,45.4,1
1860,112,Papal States,Midpoint of Papal States,43.18,13.08,5,MIDLOC1.1,> ADM1,,148767,,md point of papal states,43.18,13.08,3
1860,113,Kingdom of Two Sicilies,Midpoint of Kingdom of Two Sicilies,40.34,15.94,5,MIDLOC1.1,> ADM1,,152361,,md point of kingdom of two sicilies,40.34,15.94,3
1911,114,"Tripoli, Libya","Tripoli, Libya",13.1913,32.8872,1,latlong.net,Precise location text,,176787,Tripoli,"Tripoli, Libya",32.8925,13.18,1
1859,115,AUH-Venetian Border,Midpoint of shared (national) border,11.97,46.83,5,MIDLOC1.1,Point along a line,,196944,,md point of venetian-auh border,46.83,11.97,4
1885,119,"Panjdeh, Afghanistan","Panjdeh, Afghanistan",61.5667,31.7333,1,latlong.net,Precise location text,,175444,"Penjdeh,Afghanistan",Vakhan,36.9167,72.3,3
1853,121,Dardanelles Strait,Dardanelles Strait,26.3013,40.0482,3,latlong.net,Strait,,187613,Dardanelles Strait,Dardanelles Strait,40.25,26.4167,4
1961,122,Iraq-Kuwait Border,Midpoint of shared (national) border,47.0836,29.8809,5,ArcGIS and cShapes,Point along a line,,172535,,md point of IRQ-KUW border,29.7,47.24,4
1845,123,Argentina,Midpoint of coastline,-63.6589,-42.2343,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,68633,,md point of ARG coast,-36.96,-56.63,4
1958,125,Suez Canal,Timsah Lake,32.2909,30.5735,5,latlong.net,Point along a line,,173945,,suez canal,29.95,32.51,2
1853,126,AUH-Ottoman Border,Midpoint of shared (national) border,22.63,45.39,5,MIDLOC1.1,Point along a line,,194806,,md point of ottoman and AUH borders,45.39,22.63,4
1921,127,"Belgium, France, Germany Border",Point along shared noncontiguous border nearest midpoint of contiguous border including neighbors,6.79061,49.1655,5,ArcGIS and GADM,Point along a line,,200534,,md point GER border with FRA/BEL,49.43,6.69,4
1905,128,Ottoman Empire,Midpoint of coastline,27.06,38.39,5,MIDLOC1.1,Point along a line,,184735,,md point of ottoman coast,38.39,27.06,4
1931,129,"Harbin, China","Harbin, China",126.535,45.8038,5,latlong.net,> ADM1,,195734,Manchuria,"Harbin, China",45.75,126.65,3
1899,131,North Korea-Russia Border (Territorial Waters),Midpoint of shared (territorial water) border,130.792,42.2199,5,ArcGIS and Marine Regions,Point along a line,,190702,,usr/kor border-by coast,42.297,130.633,2
1923,133,"Memel, Lithuania","Memel, Lithuania",21.1443,55.7033,1,latlong.net,Precise location text,,209923,.,"memel, lithuania",55.5,21.5,1
1939,134,Memel,"Memel, Lithuania",21.1443,55.7033,1,latlong.net,Precise location text,,209923,Memel,"Memel, Lithuania",55.5,21.5,1
1861,135,"Veracruz, Mexico","Veracruz, Mexico",-96.1342,19.1738,1,latlong.net,Precise location text,,157128,.,"veracruz, mexico",19.333,-96.666,1
1913,136,"Veracruz, Mexico","Veracruz, Mexico",-96.1342,19.1738,1,latlong.net,Precise location text,,157128,"Veracruz, Mexico",Veracruz,31.4472,-112.358,1
1831,137,"Porto, Portugal","Porto, Portugal",-8.6291,41.1579,1,latlong.net,Precise location text,,188983,"Oporto, Portugal",Porto,41.15,-8.61667,1
1934,139,"China (Hebei [ADM1], Inner Mongolia Autonomous Prefecture [ADM1], and Liaoning [ADM1])",Centroid of > ADM1,115.008,43.2777,5,ArcGIS and GADM,> ADM1,"Jehol is a historic province, now appears split across, at least, three provinces",192111,Jehol province,"Chengteh, China",40.9725,118.17,3
1880,141,"Dubrovnik, Croatia","Dubrovnik, Croatia",18.0944,42.6507,2,latlong.net,Near,,191197,,"ragusa, ott emp",42.5,18.1,2
1821,142,"Galati, Romania","Galati, Romania",28.008,45.4353,5,latlong.net,> ADM1,,194817,Danubian Principalities,"Galati, Romania",45.45,28.05,3
1854,144,"Greytown, Nicaragua","Greytown, Nicaragua",-83.7345,10.9462,1,latlong.net,Precise location text,,144913,"Greytown, Nicaragua",Greytown,10.9167,-83.7,1
1927,145,"Shanghai, China","Shanghai, China",121.474,31.2304,1,latlong.net,Precise location text,,174843,.,shanghai,31.2,121.5,1
1827,146,Ottoman Empire,Midpoint of coastline,27.06,38.39,5,MIDLOC1.1,Point along a line,,184735,,md point of ottoman coast,38.39,27.06,4
1821,147,"Rieti, Italy","Rieti, Italy",12.8567,42.4045,1,latlong.net,Precise location text,,190466,"Rieti, Italy (Papal States)",Rieti,42.4,12.85,1
1959,148,China-Nepal Border,Midpoint of shared (national) border,84.5921,28.7093,5,ArcGIS and cShapes,Point along a line,,171170,Nepal/China Border,"zhabdun, china",29.65,84.1667,4
1856,149,"Neuchatel, Switzerland","Neuchatel, Switzerland",6.92927,46.99,1,latlong.net,Precise location text,,196934,"Neuchatel, SWZ",Neuchatel,47,6.96667,1
1926,151,"Bluefields, Nicaragua","Bluefields, Nicaragua",-83.7704,12.0111,1,latlong.net,Precise location text,,147073,"Bluefields, Nicaragua",Bluefields,12,-83.75,1
1896,152,Benin-Nigeria Border,Midpoint of shared (national) border,3.13833,9.21593,5,ArcGIS and cShapes,Point along a line,Uses 1960 data,142927,Nigeria-Dahomey border,"parakou, benin",9.35,2.61667,4
1833,153,Dardanelles Strait,Dardanelles Strait,26.3013,40.0482,3,latlong.net,Strait,,187613,,straits of dardanelles,40.2,26.6,4
1850,154,AUH-Germany Border,Midpoint of shared (national) border,49.12,49.12,5,MIDLOC1.1,Point along a line,,200619,,md point of GER AUH border,49.12,13.55,4
1906,156,"Taba, Egypt","Taba, Egypt",34.8969,29.4925,1,latlong.net,Precise location text,,171790,"Taba, border of Palestine and Sinai","Taba, Egypt",29.4864,34.9019,1
1937,157,"Beijing, China","Beijing, China",116.407,39.9042,8,latlong.net,Capital,,187073,China,"Beijing,",39.9289,116.388,5
1921,158,Costa Rica-Panama Border,Midpoint of shared (national) border,-82.7141,8.92902,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,142035,,md point of border COS PAN,8.94,-82.53,4
1903,159,"Panama City, Panama","Panama City, Panama",-79.5199,8.98238,8,latlong.net,Capital,,142041,Panama,panama city,8.96667,-79.5333,5
1838,160,"Veracruz, Mexico","Veracruz, Mexico",-96.1342,19.1738,2,latlong.net,Near,,157128,East Coast of Mexico near Veracruz,Veracruz,31.4472,-112.358,4
1904,164,Morocco,Midpoint of coastline,-8.34876,33.3276,5,ArcGIS and cShapes,Point along a line,Uses 1958 data,177464,,md point MOR coast,33.72,-7.27,4
1911,165,Iran (Northern [> ADM1]),Centroid of > ADM1,52.376,36.1117,5,ArcGIS and GADM,> ADM1,,181905,Northern Iran,tabriz,38.08,46.2919,3
1908,166,Iran (Northern [> ADM1]),Centroid of > ADM1,52.376,36.1117,5,ArcGIS and GADM,> ADM1,,181905,Northern Iran,tabriz,38.08,46.2919,3
1821,167,Italy (Piedmont [ADM1]),Centroid of ADM1,7.92682,45.061,4,ArcGIS and GADM,ADM1,,194776,Piedmont,"Cuneo, Italy",44.3833,7.53333,3
1939,169,"Warsaw, Poland","Warsaw, Poland",21.0122,52.2297,8,latlong.net,Capital,,204883,Poland,Warsaw,52.25,21,5
1962,172,Taiwan Strait,Taiwan Strait,119.698,24.6581,3,latlong.net,Strait,,165480,,taiwan straits,24.61,119.9,5
1958,173,Taiwan Strait,Taiwan Strait,119.698,24.6581,3,latlong.net,Strait,,165480,,taiwan straits,24.61,119.9,5
1936,174,"Belgium, France, Germany Border",Point along shared noncontiguous border nearest midpoint of contiguous border including neighbors,6.79061,49.1655,5,ArcGIS and GADM,Point along a line,,200534,,md point GER border with FRA/BEL,49.43,6.69,4
1849,175,"Rome, Italy","Rome, Italy",12.4964,41.9028,1,latlong.net,Precise location text,,189745,,rome,41.96,12.66,3
1922,177,France-Germany Border,Midpoint of shared (national) border,7.81941,49.0463,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,200536,,md point of GER FRA border,49,8.36,4
1932,178,"Harbin, China","Harbin, China",126.535,45.8038,5,latlong.net,> ADM1,,195734,Manchuria,"Harbin, China",45.75,126.65,3
1939,179,"Helsinki, Finland","Helsinki, Finland",24.9384,60.1699,8,latlong.net,Capital,,216410,Finland,Helsinki,60.1756,24.9342,5
1903,180,"Lvshunkou, China","Lvshunkou, China",121.262,38.8517,1,latlong.net,Precise location text,,185643,,lushun (formerly port arthur),38.8,121.26,3
1935,182,"Khalkhgol, Mongolia","Khalkhgol, Mongolia",118.622,47.627,5,latlong.net,Point along a line,,198598,,Khalkhin Gol,47.92,117.8,5
1939,183,"Khalkhin Gol, Russia","Khalkhin Gol, Russia",44.2097,46.3164,1,latlong.net,Precise location text,,196289,.,Khalkhin Gol,47.92,117.8,1
1938,184,Tumen River,Midpoint of river,129.731,42.494,5,ArcGIS and Natural Earth Data,Point along a line,,190700,Tumen River,"Tumen, China",31.7667,104.1,4
1956,185,"Warsaw, Poland","Warsaw, Poland",21.0122,52.2297,8,latlong.net,Capital,,204883,Poland,Warsaw,52.25,21,5
1920,186,"Warsaw, Poland","Warsaw, Poland",21.0122,52.2297,8,latlong.net,Capital,,204883,Poland,Warsaw,52.25,21,5
1876,187,Balkan Peninsula,Balkan Peninsula,21.0937,41.8101,6,latlong.net,Peninsula,,189763,Balkans,"Sofia, Bulgaria",42.6833,23.3167,5
1827,189,"Galati, Romania","Galati, Romania",28.008,45.4353,5,latlong.net,> ADM1,,194817,Danubian Principalities,"Galati, Romania",45.45,28.05,3
1888,191,Unspecified,,,,-99,,Location unclear or unspecified,,0,.,,,,7
1863,194,Denmark-Germany Border,Midpoint of shared (national) border,8.98718,54.8973,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,208458,,md point of border GER DEN,54.92,9.26,4
1893,196,"Bangkok, Thailand","Bangkok, Thailand",100.502,13.7563,1,latlong.net,Precise location text,,149602,.,Bangkok,13.91,100.61,1
1917,197,"Vladivostok, Russia","Vladivostok, Russia",131.887,43.1198,2,latlong.net,Near,,192144,,near Vladivostok,43.11,131.99,2
1848,198,Italy (Sicily [ADM1]),Centroid of ADM1,14.1467,37.5884,4,ArcGIS and GADM,ADM1,,183989,,md point of island of sicily,37.58,14.32,5
1961,199,India (Arunachal Pradesh [ADM1]),Centroid of ADM1,94.6767,28.039,4,ArcGIS and GADM,ADM1,,170470,NEFA,"Nefa, India",28,94.5,3
1955,200,Egypt-Israel Border,Midpoint of shared (national) border,34.6071,30.3694,5,ArcGIS and cShapes,Point along a line,,173230,,md point of ISR-EGY border,30.37,34.7,4
1883,202,"Beijing, China","Beijing, China",116.407,39.9042,8,latlong.net,Capital,,187073,China,Beijing,39.9289,116.388,5
1959,203,"Lang-Chiu, India","Lang-Chiu, India",93.55,28.6333,1,latlong.net,Precise location text,,171188,NEFA(Longju),"Longju, India",28.6333,93.55,3
1858,207,Gulf of Mexico,Gulf of Mexico,-90.0659,25.3043,4,latlong.net,Gulf,,165780,Gulf of Mexico,Center of Gulf,25,-90,5
1953,208,Czechoslovakia-West Germany Border,Midpoint of shared (national) border,12.7928,49.3429,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,200546,,md point of w ger-cze border,49.36,13.21,4
1936,210,"Guadalajara, Spain","Guadalajara, Spain",-3.16017,40.6325,2,latlong.net,Near,,188274,,"near Guadalajara, spn",40.51,-2.96,2
1920,211,France-Germany Border,Midpoint of shared (national) border,7.81941,49.0463,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,200536,,md point of GER FRA border,49,8.36,4
1888,212,Unspecified,,,,-99,,Location unclear or unspecified,,0,.,,,,7
1840,217,Unspecified,,,,-99,,Location unclear or unspecified,,0,.,,,,7
1870,220,"Tianjin, China","Tianjin, China",117.362,39.3434,1,latlong.net,Precise location text,,186355,.,"tianjin, china",39.13,117.2,1
1865,224,Japan,Centroid of Japan,139.272,36.6507,6,ArcGIS and cShapes,State,Uses 1952 data,182799,,japan,36.21,138.93,5
1861,225,Bahama Channel,Bahama Channel,-78.4003,22.7672,3,MIDLOC1.1 and latlong.net,Channel,,162204,Bahama Channel,"Arch. De Camaguey, Cuba",22.3,-78,4
1861,227,Japan-Russia Border (Territorial Waters),Midpoint of shared (territorial water) border,142.007,45.7095,5,ArcGIS and Marine Regions,Point along a line,,195765,,japanese waters off USR,45.02,140.02,5
1881,228,"Tunis, Tunisia","Tunis, Tunisia",10.1815,36.8065,8,latlong.net,Capital,,182541,Tunisia,Tunis,36.8028,10.1797,5
1919,230,Turkey (Antalya [ADM1]),Centroid of ADM1,30.9203,36.7984,4,ArcGIS and GADM,ADM1,,182582,"Adalia, SW Turkey",Adalia,36.8833,30.7,3
1849,231,"Livorno, Italy","Livorno, Italy",43.5485,10.3106,1,latlong.net,Precise location text,,144448,Livorno,"Livorno, Italy",43.55,10.3167,1
1940,235,"Mers-el-Kebir, Algeria","Mers-el-Kebir, Algeria",-0.710527,35.7222,1,latlong.net,Precise location text,,181079,"Mers-el-Kebir, Algeria","Mers-el-Kebir, Algeria",35.7333,-0.716667,1
1849,236,USR-Ottoman Border,Midpoint of shared (national) border,29.65,46.87,5,MIDLOC1.1,Point along a line,,196980,,md point border between USR and Ott empire,46.87,29.65,4
1899,237,Delagoa Bay,Delagoa Bay,32.7633,-26.0828,3,latlong.net,Bay,,91866,Delagoa Bay,"Delagoa Bay, Mozambique",-25.9833,32.7,3
1913,238,"Puerto Barrios, Guatemala","Puerto Barrios, Guatemala",-88.5855,15.6954,2,latlong.net,Near,,152103,"off Puerto Barrios, Guatemala",Puerto Barrios,15.7167,-88.6,2
1923,241,Artic Ocean near Murmansk,"Murmansk, Russia",33.0827,68.9585,2,latlong.net,Near,,228667,Artic Ocean near Murmansk,"Murmansk coast, Russia",68.6667,37.5,2
1904,242,Dogger Bank,Dogger Bank,3,55,3,latlong.net,Bank,,209167,"Dogger Bank, North Sea","Dogger Bank, North Sea",55,3,4
1960,246,Cuba,Centroid of ADM0,-79.0364,21.6212,6,ArcGIS and cShapes,State,,160762,,cuba,21.8,-78.7,5
1905,247,Dominican Republic Territorial Waters,Centroid of territorial waters,-70.0869,18.1209,3,ArcGIS and Marine Regions,Territorial waters,,155740,Coast off Dominican Republic,Santo Domingo,18.4667,-69.9,4
1932,248,Manchuria,Manchuria,125.82,46.54,6,MIDLOC1.1,State,,197172,,manchuria,46.54,125.82,5
1910,249,Nicaragua (eastern) Territorial Waters,Centroid of territorial waters,-83.0714,11.8735,3,ArcGIS and Marine Regions,Territorial waters,,146354,Caribbean coast off Nicaragua,"La Barra, Nic",12.9,-83.5333,4
1945,252,Russia-Turkey Border,Midpoint of shared (national) border,43.5541,41.0004,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,189088,,md point of TUR-USR border,40.924,43.861,4
1960,253,Afghanistan-Russia (Tajikistan [ADM1]),Midpoint of shared (subnational) border,71.3779,37.9037,5,ArcGIS and cShapes,Point along a line,Uses 1991 data,184103,,USR border close to PAK,36.996,72.64,4
1902,254,Venezuela,Midpoint of coastline,-63.8722,10.6422,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,144953,,venezuela cost,10.23,-64.71,4
1873,256,"Guantanamo Bay, Cuba","Guantanamo Bay, Cuba",-75.1216,20.0117,2,latlong.net,Near,,158610,,"guantanamo bay, cuba",20.08,-75.15,2
1914,257,AUH-Serbia Border,Midpoint of shared (national) border,19.54,46.08,5,MIDLOC1.1,Point along a line,,196240,,md point of AUH-SERB border,46.08,19.54,4
1939,258,East Prussia-Poland Border,Midpoint of shared (national) border,21.627,54.398,5,MIDLOC1.1,Point along a line,,207764,,md point of border between POL and E. Prussia,54.398,21.627,4
1956,259,Aden-Yemen Border,Midpoint of shared (national) border,45.0333,12.8,5,MIDLOC1.1,Point along a line,,148051,Border of Yemen/Aden Protectorate,Aden directorate,12.8,45.0333,4
1914,260,China (Shandong [ADM1]),Centroid of ADM1,118.151,36.352,4,ArcGIS and GADM,ADM1,,182037,Shantung Province,Shantung Province,36,119,3
1865,261,AUH-Germany Border,Midpoint of shared (national) border,50.449,12.907,5,MIDLOC1.1,Point along a line,,148061,,md point of AUH border with GER states,50.449,12.907,4
1944,262,Bulgaria,Centroid of ADM0,25.2315,42.7614,6,ArcGIS and cShapes,State,Uses 1946 data,191211,,Bulgaria,42.6,25.31,5
1835,301,Caribbean Sea,Caribbean Sea,-74.9676,14.5401,5,latlong.net,Sea,,150691,Carribean,"Kingston, Jamaica",18,-76.8,5
1854,304,"Sambir, Ukraine","Sambir, Ukraine",23.2066,49.5207,4,latlong.net,ADM1 like,,201287,"Galicia, Transylvania","Sambir, Ukraine",49.5167,23.2,3
1860,306,"Rome, Italy","Rome, Italy",12.4964,41.9028,1,latlong.net,Precise location text,,189745,Rome in Central Italy,Rome,41.9,12.4833,1
1877,307,"Valetta, Malta","Valetta, Malta",14.5146,35.8989,8,latlong.net,Capital,,181110,Malta,"Valetta, Malta",35.8997,14.5147,5
1898,309,China Territorial Waters,Centroid of territorial waters,120.175,25.5996,3,ArcGIS and Marine Regions,Territorial waters,,166921,Chinese coast,"Hsiamen, China",27.1,120.317,4
1905,310,Caribbean Sea,Caribbean Sea,-74.9676,14.5401,5,latlong.net,Sea,,150691,Caribbean Sea,Caribbean Sea,15,-75,5
1908,311,"Tripoli, Libya","Tripoli, Libya",13.1913,32.8872,1,latlong.net,Precise location text,,176787,"Tripoli, Libya","Tripoli, Libya",32.8925,13.18,1
1910,312,"Tripoli, Libya","Tripoli, Libya",13.1913,32.8872,2,latlong.net,Near,,176787,Waters off Tripoli,"Tripoli, Libya",32.8925,13.18,2
1910,313,Iran (Southern [> ADM1]),Centroid of > ADM1,57.0465,28.6641,5,ArcGIS and GADM,> ADM1,,171115,Southern Iran,Sirjan,26.2333,59.0333,3
1911,314,Albania Territorial Waters,Centroid of territorial waters,19.34,40.8251,3,ArcGIS and Marine Regions,Territorial waters,,188319,"Albania, Adriatic Sea",Durres,41.3231,19.4414,5
